ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,Amount
0.0215384615384621,0.2637362637362638,0.9411925601750548,0.0588235294117647,0.1756435528543814,2/24/2003 0:00,Shipped,0.0,0.0909090909090909,0.0,Motorcycles,0.3425414364640884,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,N/A,NYC,NY,10022,USA,N/A,Yu,Kwai,Small,0.2788771461225328
0.0646153846153865,0.3076923076923077,0.7449398249452954,0.2352941176470588,0.1679159923739051,5/7/2003 0:00,Shipped,0.3333333333333333,0.3636363636363636,0.0,Motorcycles,0.3425414364640884,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,N/A,Reims,NY,51100,France,EMEA,Henriot,Paul,Small,0.2666077517823308
0.1046153846153856,0.3846153846153846,0.9280634573304156,0.0588235294117647,0.250150176425132,7/1/2003 0:00,Shipped,0.6666666666666667,0.5454545454545454,0.0,Motorcycles,0.3425414364640884,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,N/A,Paris,NY,75508,France,EMEA,Da Cunha,Daniel,Medium,0.3971746538361411
0.1384615384615379,0.4285714285714286,0.7710612691466083,0.2941176470588235,0.240030086753079,8/25/2003 0:00,Shipped,0.6666666666666667,0.6363636363636364,0.0,Motorcycles,0.3425414364640884,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,N/A,Pasadena,CA,90003,USA,EMEA,Young,Julie,Medium,0.3811065335984114
0.1815384615384623,0.4725274725274726,1.0,0.7647058823529411,0.3472725975999712,10/10/2003 0:00,Shipped,1.0,0.8181818181818182,0.0,Motorcycles,0.3425414364640884,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,N/A,San Francisco,CA,90003,USA,EMEA,Brown,Julie,Medium,0.5157429987987434
0.2092307692307677,0.3296703296703297,0.9543216630196936,0.0,0.2204031124937227,10/28/2003 0:00,Shipped,1.0,0.8181818181818182,0.0,Motorcycles,0.3425414364640884,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,N/A,Burlingame,CA,94217,USA,EMEA,Hirano,Juri,Medium,0.3499439063370079
0.2461538461538452,0.2527472527472528,0.8103118161925602,0.4705882352941176,0.1482015224249981,11/11/2003 0:00,Shipped,1.0,0.9090909090909092,0.0,Motorcycles,0.3425414364640884,S10_1678,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",N/A,Lille,CA,59000,France,EMEA,Rance,Martine,Small,0.2353062036906244
0.2707692307692326,0.4615384615384615,1.0,0.0,0.3698486912777091,11/18/2003 0:00,Shipped,1.0,0.9090909090909092,0.0,Motorcycles,0.3425414364640884,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",N/A,Bergen,CA,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,0.5040689794455542
0.3107692307692318,0.1758241758241758,0.9804431072210064,0.0588235294117647,0.1239946267353005,12/1/2003 0:00,Shipped,1.0,1.0,0.0,Motorcycles,0.3425414364640884,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,N/A,San Francisco,CA,N 5804,USA,EMEA,Murphy,Julie,Small,0.1968718297741194
0.3415384615384624,0.3846153846153846,1.0,0.7647058823529411,0.3107427795836528,1/15/2004 0:00,Shipped,0.0,0.0,0.5,Motorcycles,0.3425414364640884,S10_1678,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",N/A,Paris,CA,75016,France,EMEA,Perrier,Dominique,Medium,0.4223508439732291
0.3784615384615399,0.3406593406593407,1.0,0.0,0.2561292936303873,2/20/2004 0:00,Shipped,0.0,0.0909090909090909,0.5,Motorcycles,0.3425414364640884,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,0.375654766560472
0.4215384615384607,0.1868131868131868,1.0,0.3529411764705882,0.1360955011775155,4/5/2004 0:00,Shipped,0.3333333333333333,0.2727272727272727,0.5,Motorcycles,0.3425414364640884,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,APAC,Frick,Michael,Small,0.212218495615822
